amount,norm_amount,game_id,user_id
4.9,0.05903614457831326,0,0
62.0,0.30097087378640774,2,0
207.0,0.49521531100478466,16,1
12.5,0.006572029442691903,6,1
0.8,0.00963855421686747,0,1
1.2,0.01818181818181818,12,1
165.0,0.13819095477386933,8,1
22.0,0.08494208494208494,5,1
15.9,0.03412017167381974,9,1
271.0,0.8017751479289941,11,1
5.7,0.10754716981132076,13,1
24.0,0.05853658536585366,4,1
13.1,0.019208211143695014,3,1
0.4,0.02,17,1
3.4,0.25757575757575757,15,1
1.8,0.05142857142857143,14,1
65.0,0.037037037037037035,7,1
65.0,0.47101449275362317,56,2
0.2,0.013157894736842106,29,2
3.2,0.507936507936508,38,2
3.4,0.01152542372881356,20,2
0.5,0.0058823529411764705,141,2
49.0,0.125,49,2
0.4,0.001413427561837456,79,2
3.5,0.04861111111111111,135,2
2.0,0.007017543859649123,1,2
0.9,0.001101591187270502,85,2
0.5,0.04310344827586207,118,2
0.2,0.002325581395348837,74,2
14.5,0.010638297872340425,98,2
15.2,0.05296167247386759,32,2
1.2,0.0029411764705882353,129,2
8.3,0.015839694656488552,36,2
0.4,0.009302325581395349,121,2
14.3,0.02310177705977383,24,2
2.3,0.053488372093023255,150,2
28.0,0.13592233009708737,2,2
10.6,0.08688524590163935,123,2
2.9,0.004769736842105263,59,2
0.2,0.0001728608470181504,60,2
7.4,0.022222222222222223,115,2
0.9,0.00569620253164557,50,2
0.6,0.006382978723404255,81,2
9.7,0.05987654320987654,67,2
27.0,0.08766233766233766,55,2
62.0,0.08732394366197183,47,2
1.8,0.015384615384615385,114,2
9.6,0.09896907216494845,147,2
0.3,0.0062499999999999995,61,2
0.7,0.047619047619047616,28,2
2.4,0.0077170418006430866,93,2
0.8,0.010256410256410256,117,2
8.9,0.03647540983606558,94,2
8.3,0.12586206896551724,155,2
0.9,0.002102803738317757,62,2
41.0,0.0625,25,2
0.9,0.020930232558139535,41,2
1.6,0.01927710843373494,0,2
0.8,0.011428571428571429,133,2
49.0,0.1022964509394572,110,2
12.9,0.16973684210526316,156,2
12.5,0.05458515283842795,148,2
2.0,0.019417475728155338,137,2
3.2,0.1032258064516129,88,2
13.6,0.016209773539928488,22,2
0.8,0.002416918429003021,31,2
1.0,0.0008802816901408451,45,2
0.1,0.0014705882352941176,54,2
0.5,0.01282051282051282,104,2
1.1,0.025581395348837212,57,2
1.6,0.021333333333333336,76,2
2.9,0.049999999999999996,146,2
2.7,0.020454545454545454,40,2
0.2,0.0011111111111111111,105,2
9.0,0.08035714285714286,64,2
10.8,0.01010289990645463,84,2
4.9,0.14411764705882354,78,2
0.6,0.03,132,2
40.0,0.24539877300613497,143,2
2.4,0.012972972972972972,107,2
0.2,0.008333333333333333,122,2
25.0,0.03607503607503607,23,2
1.2,0.0017595307917888563,3,2
2.4,0.024742268041237112,58,2
8.5,0.00589050589050589,99,2
10.2,0.021794871794871794,44,2
0.6,0.020689655172413793,39,2
0.2,0.0012048192771084338,119,2
0.4,0.00023923444976076556,134,2
29.0,0.11646586345381527,152,2
2.4,0.030379746835443037,91,2
0.8,0.0009592326139088729,96,2
99.0,0.4230769230769231,19,2
22.0,0.2,51,2
0.4,0.0033057851239669425,138,2
9.2,0.021800947867298578,149,2
0.4,0.0003913894324853229,34,2
1.3,0.0962962962962963,97,2
0.3,0.006521739130434782,68,2
1.9,0.038,153,2
5.8,0.17575757575757575,116,2
19.2,0.24615384615384614,52,2
2.0,0.3921568627450981,73,2
0.6,0.0032967032967032967,27,2
0.1,0.004347826086956522,142,2
21.0,0.07749077490774908,35,2
50.0,0.12165450121654502,130,2
0.9,0.010714285714285714,46,2
